question_id,prompt,answer,correct_answer,correct_rationale
1,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which irrigation method is most efficient for water conservation in Kenya's dry regions?

Answer options:
A. Drip Irrigation
B. Flood irrigation
C. Overhead sprinkler irrigation
D. Basin irrigation
E. Furrow irrigation

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale: Drip irrigation delivers small, precise amounts of water directly to the plant root zone through emitters, minimising evaporation, runoff and deep percolation losses. In Kenya’s arid and semi-arid areas this method can save 40-70 % more water than furrow, basin or sprinkler systems while still maintaining or increasing crop yields. Flood, basin and furrow techniques spread water over a larger soil surface, leading to high evaporation and seepage losses. Overhead sprinklers lose additional water through wind drift and droplet evaporation. Consequently, drip irrigation is universally regarded as the most water-efficient option for smallholders in dry regions.",A,"In dry regions, water is a limited resource and needs to be conserved. Drip irrigation is the most efficient technique to conserve water as its released to the root zones to guarantee uptake by the crop."
2,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: How do I apply fertilizer in my farm to maximize yield and profitability?

Answer options:
A. Apply fertilizer randomly across the field without considering soil conditions.
B. Through spot application apply the right type, right amount, and at the right time as guided by the soil testing results.
C. Apply only nitrogen fertilizers, as other nutrients are not necessary for crop growth.
D. Apply excessive amounts of fertilizer to ensure faster plant growth and higher yields.
E. Apply fertilizer when it starts raining.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale: Effective fertilizer use follows the “4Rs”: the right type (nutrient balance), right rate (amount), right timing and right placement, all of which are informed by a soil test; this is exactly what option B states. Random application (A) wastes money and can create nutrient imbalances. Using only nitrogen (C) ignores crucial nutrients such as phosphorus, potassium and micronutrients, leading to deficiencies and lower yields. Over-applying fertilizer (D) raises costs, can burn crops and pollute soil and water. While having moisture is important, simply “apply fertilizer when it starts raining” (E) ignores soil test recommendations, placement and rate, so by itself it is not a reliable guideline for maximizing profit.",B,"Fertilizer application is a technique that requires the right approach to reduce losses due to volatilization and leaching. Thus, the application should be at the right time, right rate, with the right type of fertilizer and method."
3,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the best practices in the intercropping of legume crops with cereal crops?

Answer options:
A. Plant cereals densely to outcompete legumes
B. Select compatible crops, ensure timely planting, ensure proper spacing to avoid competition, and rotate rows to maximize resource use.
C. Apply nitrogen fertilizer heavily to support both crops
D. Harvest legumes before they mature to reduce shading
E. Repeatedly intercropping the same legumes with the same cereals season after season

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale: Successful cereal–legume intercrops depend on matching species with complementary growth habits, planting them at the right time, and giving each crop enough space so they do not compete excessively for light, nutrients and moisture. Alternating or rotating rows (e.g., 1:1 or 2:1 arrangements) helps each crop access sunlight and soil resources while allowing the legume to fix nitrogen that the cereal can use. Option A is poor practice because overly dense cereals shade out legumes and nullify intercropping benefits. Option C is unnecessary and counter-productive: high nitrogen suppresses legume nodulation and wastes money. Option D reduces yield and seed quality of the legume. Option E encourages build-up of pests, diseases and soil nutrient imbalances; rotations should vary crops across seasons.",B,"Intercropping enhances productivity when compatible crops are selected, as they will not compete but utilize resources adequately. However, take note of planting time, spacing, and weeding to ensure intercropping benefits both crops."
4,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which is the best way to apply herbicide in my maize field? 

Answer options:
A. Apply herbicide at any stage of maize growth.
B. Spray herbicide when weeds are mature for maximum effectiveness.
C. Apply pre-emergence herbicide after planting and post-emergence herbicide when weeds are young.

D. Increase herbicide concentration to kill all weeds in one application.
E. Spraying herbicides during windy, rainy, or extremely hot conditions

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C

Rationale: Effective weed control in maize relies on using the right herbicide at the correct growth stage. A pre-emergence herbicide applied immediately after planting prevents most weeds from germinating. Any weeds that escape should be controlled with a labeled post-emergence product while they are still small and tender, usually at the 2–4-leaf stage. This approach minimizes crop competition, reduces herbicide resistance risk, and avoids crop injury. Applying herbicide at any stage (A) or on mature weeds (B) lowers effectiveness, while overdosing (D) can damage maize and the environment. Spraying under windy, rainy, or very hot conditions (E) leads to drift, wash-off, or volatilization, wasting product and harming non-target areas.",C,"Weed suppression before and after emergence of the maize is crucial to minimize competition with the main crop for nutrients, sunlight and space. This approach avoids over use of chemical herbicides that would be harmful to the environment."
5,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which is the best practice for storing grain to mitigate against post-harvest losses?

Answer options:
A. Storing dry maize in airtight hermetic bags or well aerated sisal and on a pallet.
B. Storing maize in plastic bags without checking the moisture content.
C. Storing dry maize in well aerated bags and placing them on bare ground.
D. Storing both old grains and new grains in the same bags
E. Storing maize in ordinary bags that allow pest and moisture penetration to the grains.

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: A

Rationale: Grain should first be properly dried, then kept in containers that block insects, rodents and external moisture while remaining off the floor to avoid capillary dampness. Airtight (hermetic) bags create an oxygen-poor environment that kills insects, and placing any sacks on a pallet improves air circulation and prevents moisture wicking from the ground. Well-aerated sisal bags can also work when grain is adequately dry and lifted on pallets. Options B, C, D and E all expose the grain to excess moisture, insects, or cross-contamination, leading to mould growth, aflatoxin and pest damage, so they are not best practices.",A,"Post harvest losses in grain occur due to pests, mold, and moisture. Use airtight hermetic bags to prevent pest infestation to maintain high quality of grains stored. Well aerated sisal bags will allow proper air circulation thus preventing mold growth. Placing the bags on pallets prevents moisture absorption from the ground and reduces contamination from rodents."
6,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which livestock breed is best for dairy production?

Answer options:
A. Ayrshire
B. Sahiwal
C. Friesian
D. Red Maasai
E. Jersey

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C, E

Rationale: Friesians (Holsteins) have the highest average milk yields of all cattle breeds worldwide and are therefore the prime choice for farmers aiming for maximum milk volume. Jerseys, while producing less volume than Friesians, give milk with the highest butter-fat and protein percentages, making them highly valued in dairy operations focused on quality and processing returns such as cheese or butter. Ayrshires produce good milk volumes but generally fall behind Friesians, and Sahiwals are primarily dual-purpose zebu cattle bred for heat tolerance rather than top-end dairy output; Red Maasai are sheep and not a dairy breed at all. Thus, Friesian and Jersey stand out as the best dairy breeds among the options provided.","A, C, E","Best livestock breeds are bred for high milk yield, quality, and efficiency in feed conversion. These includes Friesian, Jersey and Ayrshire."
7,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: Which livestock breed is best for beef production?

Answer options:
A. Jersey
B. Sahiwal
C. Boran
D. Brahman
E. Guernsey

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: C, D

Rationale: Jersey and Guernsey are specialized dairy breeds, valued for high-butterfat milk rather than carcass yield. Sahiwal, although hardy, is primarily selected for milk in East Africa. Boran cattle, developed in northern Kenya, are renowned for rapid weight gain, good meat conformation and drought tolerance, making them a leading indigenous beef breed. Brahman cattle, derived from Indian Zebu, are also favored for beef because they grow large, convert feed efficiently and withstand heat, ticks and drought. Therefore Boran and Brahman are the most suitable choices for beef production.","B, C, D","Best livestock breeds for beef are bred for meat, faster maturity, and adaptability to harsh environments. These includes Boran, Sahiwal, and Brahman"
8,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the suitable crops for drought prone areas?

Answer options:
A. Maize and cabbage
B. Sorghum and millet
C. Rice and sugarcane
D. Green grams and pigeon peas
E. Wheat and bananas

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, D

Rationale: Sorghum and millet have deep root systems and short growth cycles that let them survive on very limited rainfall, making them classic staples for arid and semi-arid lands. Green grams and pigeon peas are hardy legumes that tolerate dry spells, fix their own nitrogen, and can still yield under erratic rainfall. Maize, cabbage, rice, sugarcane, wheat and bananas all demand more consistent moisture; they suffer significant yield loss or crop failure when exposed to prolonged drought, so they are not recommended for drought-prone regions.","B, D","Best crops for drought prone areas are tolerant to water stress. Some crops that are suitable for such areas include Sorghum, millet, green grams and pigeon peas"
9,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: \Which farming practices reduce soil erosion in slopy areas?

Answer options:
A. Monocropping
B. Contour farming
C. Excessive tillage
D. Planting shallow-rooted crops
E. Having bare ground

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B

Rationale: Contour farming involves ploughing and planting along the natural contours of a slope, forming ridges that slow down water run-off and encourage infiltration, thereby greatly reducing soil erosion. The other practices—monocropping, excessive tillage, planting shallow-rooted crops, and leaving ground bare—either reduce soil cover or disturb soil structure, which accelerates erosion rather than prevents it.",B,Contour farming is the most effective practice for reducing soil erosion in sloped areas. It involves plowing and planting along the natural contours of the land rather than up and down the slope to reduce water runoff and soil erosion.
10,"You provide smallholder farmers in Kenya with agricultural advice and information. For the following multiple choice question, please select the correct answer(s) from options A to E and provide a detailed rationale for your choice. There can be multiple correct answers.

Question: What are the ways of controlling fall armyworm infestation?

Answer options:
A. Spray fungicide
B. Remove attacked crops
C. Spray FAW pesticides early or late in the day in the maize whorl
D. Spraying with crude plant extracts
E. Apply nitrogen-rich fertilizers to boost plant growth

Your response must follow this format exactly:

Correct answer: [OPTION(S)]

Rationale: [Not longer than 10 sentences]","Correct answer: B, C, D

Rationale: Fall armyworm (FAW) is an insect pest, so fungicides (A) do not affect it. Removing and destroying heavily infested plants or plant parts (B) lowers the local larval population and prevents spread. The most effective time to apply insecticides is early morning or late evening when larvae are active, and directing the spray into the maize whorl ensures contact with the hiding caterpillars (C). Farmers can also use botanicals such as neem, chilli–garlic or other crude plant extracts that have repellent or insecticidal properties (D). Applying extra nitrogen fertilizer (E) only improves plant growth and may even make foliage more attractive to pests, so it is not a control measure against FAW.",C,Fall armyworm (FAW) is a destructive pest that primarily attacks maize and other cereal crops. The most effective method to control FAW is to apply registered pesticides early in the morning or late in the evening when the larvae are actively feeding in the maize whorl. Applying in the whorl increases the contact of the pest with the insecticides.
