id,prompt,answer
1,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I have been applying different pesticides to control pests on my farm. However, they seem not to be effective, what can I do?","First, identify the specific pest and confirm it matches the pesticide you are using.  
Second, check if the pesticide is still within its expiry date and confirm you are mixing it correctly.  
Third, rotate different classes of pesticides to prevent pest resistance from building up.  
Fourth, apply pesticides only at the right time of day and under recommended weather conditions for best results.  
Fifth, scout your fields regularly to catch pest problems early and apply treatment promptly.  
Sixth, use cultural methods like removing and destroying infested crop residues to reduce pest habitat.  
Finally, consider integrating biological controls (like beneficial insects) with chemical treatments for a more sustainable solution."
2,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I have been losing my crops and livestock due to drought and floods. What can I do to get compensation during such occurrences?","You should consider enrolling in government-backed crop insurance schemes like the Pradhan Mantri Fasal Bima Yojana (PMFBY).  
Similarly, for livestock, look into government livestock insurance programs offered by some state animal husbandry departments.  
Always keep all required documents ready, such as land records, insurance policy details, and proof of loss (photos or local authority certification).  
Report any damage to your insurance company or local agricultural office as soon as possible after the event.  
Claim procedures usually include field inspections, so cooperate with officials who visit your farm.  
You can also ask your local agriculture extension officer or Krishi Vigyan Kendra for details on government relief funds.  
Keep in touch with your village panchayat or block office, as they can guide you on additional compensation or emergency relief measures.  
Finally, try to diversify crops and livestock to reduce risk, and adopt climate-resilient farming practices for long-term safety."
3,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: I am interested in learning about crops and livestock production. Where can I visit to learn more about crops and livestock production?","Your local Krishi Vigyan Kendra (KVK) is a great place to start. They provide hands-on training, demonstration plots, and scientific guidance on both crop cultivation and livestock rearing. Your state’s agriculture department offices often host workshops and awareness programs. Agricultural universities sometimes organize field days open to local farmers. District-level demonstration farms and research stations showcase best practices for different crops and animals. Attending farmer field schools run by NGOs or self-help groups is another good option. Accredited veterinary hospitals or animal husbandry centers can help you learn about animal health and nutrition. You can also visit progressive farmers in your region to see advanced methods in action. Make sure to keep notes and ask questions wherever you go."
4,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Which bean variety is suitable for dryland agro-ecological zone?","Cowpea (also called lobia) is one of the best bean options for dryland conditions due to its drought tolerance. Among cowpea varieties, Pant Lobia-3 (PL-3) and C-152 are commonly recommended for low-rainfall regions. These varieties can perform well even with limited water, provided the soil is well-drained. Prepare a firm seedbed and sow seeds at a depth of about 3–5 cm for better germination. Apply well-decomposed farmyard manure or compost to enhance soil fertility. Avoid waterlogging by ensuring proper field drainage. Regularly remove weeds, especially during early plant growth. Timely pest and disease management will help maximize yield. Harvest once the pods are fully matured and dry to maintain quality seeds."
5,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: If I am unable to acquire certified maize seeds, which variety can I save and replant the next season?","You can save and replant open-pollinated maize varieties, not hybrids, because open-pollinated varieties produce seed with stable traits. These varieties allow you to harvest and reuse the seed for several seasons if properly handled. Choose a locally adapted open-pollinated variety recommended by your nearby agricultural department or Krishi Vigyan Kendra. Always select seed from healthy, high-yielding plants without signs of disease or pest damage. Dry the cobs thoroughly in the sun, then shell and clean the kernels before storing in a cool, dry, and airtight container. Doing so helps maintain high germination rates for the next season. Make sure to keep these varieties isolated from other maize crops to prevent cross-pollination. Consult your local agricultural extension officer if you need help identifying a reliable open-pollinated maize variety in your region."
6,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Are chemical pesticides important and safe in crop and livestock production?","Chemical pesticides can help protect your crops and animals from pests and diseases. However, overuse or misuse can harm the environment and affect your health. Always read and follow the label instructions before using any chemical pesticide. Wear proper protective clothing like gloves, masks, and boots while handling and spraying. Also avoid spraying near water sources and on windy days to prevent drift. Store chemicals in a locked place, away from children and livestock. Combine chemical sprays with other pest management practices, such as crop rotation and biological controls. Rotate different chemicals to prevent pest resistance. If you suspect poisoning in humans or animals, seek medical help immediately. Responsible use of pesticides helps ensure healthy produce for your family and community."
7,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How can I know that my soil is fertile?","A laboratory soil test is the most reliable way to check your soil’s fertility. You can collect soil samples from different parts of your field and send them to a local agricultural lab. The lab will tell you about important nutrients like nitrogen, phosphorus, and potassium, as well as your soil’s pH level. Healthy soil usually looks dark, feels crumbly, and has a pleasant “earthy” smell. Earthworms and other tiny creatures in your soil also indicate good fertility. Watch your crop growth: if plants look green, strong, and produce good yields, your soil is likely fertile. If your crops frequently show yellow leaves, stunted growth, or poor yields, you may need to add nutrients or organic matter. Regularly mix compost or well-rotted manure into your soil to keep it healthy."
8,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How can I best control weeds in my farm?","1. Use certified, weed-free seeds and plant them at the correct spacing so the crop canopy can shade out weeds.  
2. Hand weed or hoe regularly when weeds are small, especially within the first few weeks after sowing.  
3. Apply organic mulch like straw or dried leaves to block sunlight and reduce weed germination.  
4. Practice crop rotation to break weed life cycles and reduce their buildup in the soil.  
5. Maintain good field sanitation by removing weeds before they produce seeds or spread.  
6. If using herbicides, choose the correct product for your crop, and strictly follow recommended dosages and safety guidelines.  
7. Monitor fields frequently so you can catch and manage weeds early, ensuring healthy crop growth.  "
9,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: How do organic and synthetic/inorganic fertilizers compare in terms of effectiveness to crop production, and which one would be more suitable for different farming conditions?","Organic fertilizers come from compost, manure, and other natural materials that also boost the soil’s structure and long-term fertility. Synthetic fertilizers are manufactured products that provide nutrients more quickly and in precise amounts. Both can be effective, but their suitability often depends on soil conditions, crop type, and farming practices. If your soil is low in organic matter or prone to erosion, organic fertilizers can help rebuild it over time. If you need a quick or targeted nutrient boost, synthetic fertilizers may be more appropriate. Synthetic fertilizers can be more expensive and might harm your soil structure if used improperly. Organic fertilizers are generally safer for the environment but require more labor to prepare and apply. Many experienced farmers use a combination of both types to balance immediate crop needs with long-term soil health. It is best to test your soil regularly and get specific recommendations from a local extension office. Combining good soil management with proper fertilization practices can help ensure healthy crops and higher yields."
10,"You provide smallholder farmers in India with high quality agricultural advice and information. Please respond to the following question like an agronomist or agricultural extension agent would respond to a smallholder farmer. Be factually correct, precise and make the response understandable for a smallholder farmer. Do not use more than 10 sentences.

Question: Lately, the onset of rains has shown significant variability from season to season. This has affected our ability to judge when to plant. In this scenario, when is the best time to plant?","Monitor local weather forecasts and rainfall data closely before deciding to plant.  
Wait until you have at least one or two good rainfalls that soften the soil adequately.  
A soil moisture check can be done by feeling the top few centimeters for sufficient dampness.  
Planting immediately after these rains helps seeds germinate well and reduces the need for extra irrigation.  
If you plant too early and the rains delay, seeds may fail or grow weak.  
If you plant too late, the crops might not mature before the season ends.  
Always keep extra seeds ready in case you need to re-sow.  
Consider using short-duration crop varieties to reduce the risk of weather fluctuations.  
Consult with your local extension officer for precise rainfall patterns in your area.  "
